group_name,team,latest_rating,latest_rating_date,confederation,is_host,form_ppg_5,form_ppg_10,gd_5,gf_10,ga_10,opp_avg_rating_10,rest_days,matches_seen,round_of_32_pct,round_of_16_pct,quarterfinal_pct,semifinal_pct,final_pct,champion_pct
J,Jordan,1721.96,2026-05-31,AFC,0.0,1.0,1.7,-0.6,1.9,1.6,1715.4378000000002,1.0,20.0,0.325,0.065,0.015,0.0,0.0,0.0
K,DR Congo,1714.28,2026-03-31,CAF,0.0,2.0,2.3,1.0,1.2,0.3,1594.2924,62.0,20.0,0.405,0.13,0.03,0.005,0.0,0.0
F,Tunisia,1683.45,2026-03-31,CAF,0.0,1.2,1.4,0.0,1.4,1.0,1654.1487000000002,62.0,20.0,0.365,0.06,0.025,0.01,0.005,0.0
G,New Zealand,1679.95,2026-03-30,OFC,0.0,0.8,0.7,-0.4,0.9,1.5,1781.7802,63.0,20.0,0.37,0.095,0.02,0.005,0.0,0.0
H,Saudi Arabia,1658.46,2026-05-30,AFC,0.0,0.6,1.2,-1.2,1.0,1.5,1710.3798000000002,2.0,20.0,0.37,0.065,0.01,0.0,0.0,0.0
C,Haiti,1648.9,2026-03-31,CONCACAF,0.0,1.4,1.3,-0.2,1.2,1.1,1638.1954,62.0,20.0,0.255,0.065,0.005,0.0,0.0,0.0
H,Cape Verde,1636.47,2026-05-31,CAF,0.0,1.2,1.7,0.2,1.7,1.0,1606.2716,1.0,20.0,0.395,0.085,0.005,0.0,0.0,0.0
A,South Africa,1623.42,2026-05-29,CAF,0.0,1.0,1.5,-0.2,1.4,1.0,1591.3794,3.0,20.0,0.455,0.1,0.015,0.005,0.0,0.0
B,Bosnia and Herzegovina,1602.71,2026-05-29,UEFA,0.0,1.4,1.4,0.4,2.0,1.1,1596.1887,3.0,20.0,0.58,0.15,0.02,0.0,0.0,0.0
B,Qatar,1583.38,2026-05-28,AFC,0.0,0.2,0.7,-1.2,0.9,1.7,1600.7041,4.0,20.0,0.21,0.015,0.0,0.0,0.0,0.0
L,Ghana,1565.24,2026-05-22,CAF,0.0,0.0,1.3,-2.0,1.4,1.3,1675.0816,10.0,20.0,0.25,0.035,0.005,0.0,0.0,0.0
E,Curaçao,1556.86,2026-05-30,CONCACAF,0.0,0.8,1.2,-0.4,1.6,1.6,1593.6446,2.0,20.0,0.17,0.03,0.005,0.0,0.0,0.0
A,Czechia,,,,,,,,,,,,,0.295,0.04,0.005,0.0,0.0,0.0
