feature,team_a_goal_importance,team_b_goal_importance,combined_importance
rating_gap_ab,0.1289825572726977,0.11102389585707999,0.12000322656488885
team_a_opp_avg_rating_10,0.03679332344348181,0.05148157753791298,0.044137450490697394
team_b_opp_avg_rating_10,0.06891032465030097,0.012902882407458715,0.04090660352887984
team_a_rating,0.0646382680905098,0.014733224537951718,0.03968574631423076
team_b_rating,0.011448919372750454,0.045599361677328296,0.028524140525039376
team_a_ga_10,0.004342769881271513,0.03279402240954328,0.018568396145407395
is_neutral,0.0075928547208766965,0.019319887049571615,0.013456370885224157
team_a_gf_10,0.02017960715422169,0.0005131775308108821,0.010346392342516286
team_b_gf_10,0.001144070054205848,0.01300525578968248,0.007074662921944164
team_b_ga_10,0.010691633842851322,0.0006015698836238315,0.005646601863237577
gd_gap_5,0.004277268270064116,0.002452889839975203,0.0033650790550196594
home_confederation,0.0005255610322997927,0.0037166851327135484,0.0021211230825066707
team_a_gd_5,0.0032457015710328995,0.0007989287502307985,0.002022315160631849
team_b_gd_5,-0.003133674003748421,0.000677633382364684,0.0019056536930565527
away_confederation,0.0010785558017885944,0.0017823763143052674,0.001430466058046931
team_a_host_flag,0.0004456432584610592,-0.0006844986082589433,0.0005650709333600012
competition_type,7.280628444270577e-05,0.0009589459537021394,0.0005158761190724226
form_gap_ppg_5,0.0008837972491151369,-8.585326091030687e-05,0.0004848252550127219
team_a_form_ppg_5,-0.0003760427607710337,-0.00047256013635910143,0.00042430144856506755
team_b_form_ppg_5,-0.0005975208479476191,-7.247230772091661e-05,0.00033499657783426785
team_b_host_flag,-8.499227060361214e-05,-0.0003307124466126243,0.00020785235860811823
team_a_rest_days,-0.00012421785737526392,-0.00022864242753124487,0.0001764301424532544
same_confederation,-0.000158158935707009,0.00011392295651999618,0.0001360409461135026
rest_gap_ab,4.770788886743204e-06,-0.0001909597789358397,9.786528391129145e-05
team_b_rest_days,-0.00018668326018103087,4.480076957502633e-06,9.558166856926675e-05
